name,start,end
Paul Jewell,2007-11-28,2008-12-29
Chris Hutchings,2008-12-30,2009-01-05
David Lowe,2009-01-06,2009-01-08
Nigel Clough,2009-01-09,2013-09-28
Darren Wassall,2013-09-29,2013-10-01
Steve McClaren,2013-10-02,2015-05-25
Paul Clement,2015-06-01,2016-02-07
Darren Wassall,2016-02-08,2016-05-26
Nigel Pearson,2016-05-27,2016-09-26
Chris Powell,2016-09-27,2016-10-11
Steve McClaren,2016-10-12,2017-03-12
Gary Rowett,2017-03-14,2018-06-30
Frank Lampard,2018-07-01,2019-07-03
Phillip Cocu,2019-07-05,2020-11-14
Liam Rosenior,2020-11-15,2020-11-25
Wayne Rooney,2020-11-26,2021-03-20
