Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,PSCH,PSCD,PSCA
E1,18/08/2012,Derby,Sheffield Weds,2,2,D,2,1,H,6,7,4,6,7,14,9,4,1,2,0,0,2.45,3.43,3.07,2.72,3.37,2.81
E1,21/08/2012,Bolton,Derby,2,0,H,0,0,D,16,7,10,4,13,15,6,5,3,1,0,0,1.68,3.88,5.6,1.85,3.62,4.92
E1,25/08/2012,Wolves,Derby,1,1,D,1,0,H,7,12,3,11,9,5,4,7,0,0,0,0,1.7,3.75,5.9,1.98,3.57,4.25
E1,01/09/2012,Derby,Watford,5,1,H,3,0,H,12,4,11,1,7,13,6,3,1,1,0,0,2.31,3.44,3.31,2.22,3.5,3.53
E1,15/09/2012,Huddersfield,Derby,1,0,H,1,0,H,5,5,3,1,10,14,7,10,3,1,0,0,2.33,3.5,3.23,2.46,3.4,3.14
E1,18/09/2012,Derby,Charlton,3,2,H,1,0,H,17,9,8,5,17,15,5,4,1,2,0,0,2.06,3.53,3.9,1.99,3.56,4.21
E1,22/09/2012,Derby,Burnley,1,2,A,1,1,D,17,11,9,9,14,11,11,6,0,2,0,0,2.1,3.58,3.64,2.21,3.49,3.54
E1,30/09/2012,Nott'm Forest,Derby,0,1,A,0,0,D,8,4,6,2,11,17,2,4,4,2,1,0,2.05,3.63,3.82,2.34,3.42,3.31
E1,03/10/2012,Middlesbrough,Derby,2,2,D,1,1,D,10,6,5,5,11,13,3,8,1,1,0,0,2.27,3.48,3.36,2.33,3.38,3.33
E1,06/10/2012,Derby,Brighton,0,0,D,0,0,D,4,11,2,3,13,11,11,7,1,2,0,0,2.86,3.43,2.56,2.72,3.59,2.67
E1,20/10/2012,Derby,Blackburn,1,1,D,0,1,A,17,10,6,7,13,10,7,5,0,1,0,0,2.31,3.54,3.23,2.27,3.61,3.23
E1,23/10/2012,Ipswich,Derby,1,2,A,1,1,D,13,15,9,6,9,12,7,6,2,1,0,0,2.38,3.58,3.07,2.33,3.6,3.16
E1,27/10/2012,Peterboro,Derby,3,0,H,1,0,H,19,9,16,3,13,9,8,5,2,2,0,1,2.93,3.57,2.48,2.82,3.5,2.63
E1,03/11/2012,Derby,Blackpool,4,1,H,2,0,H,9,11,6,5,6,9,12,4,0,3,0,0,2.57,3.56,2.77,2.46,3.65,2.94
E1,06/11/2012,Derby,Barnsley,2,0,H,0,0,D,12,11,7,5,9,17,5,7,0,4,0,0,1.78,3.91,4.75,1.83,3.86,4.61
E1,10/11/2012,Millwall,Derby,2,1,H,1,0,H,14,9,8,6,9,9,5,4,1,3,0,0,2.28,3.52,3.3,2.34,3.69,3.09
E1,17/11/2012,Crystal Palace,Derby,3,0,H,1,0,H,18,5,8,1,9,7,12,4,1,2,0,0,1.97,3.92,3.8,1.97,3.77,4.03
E1,24/11/2012,Derby,Birmingham,3,2,H,1,0,H,18,12,10,6,8,7,8,0,1,1,0,0,2.2,3.6,3.42,2.23,3.65,3.36
E1,27/11/2012,Derby,Cardiff,1,1,D,0,1,A,19,7,9,2,9,15,11,2,2,2,0,1,2.69,3.55,2.69,2.7,3.57,2.7
E1,01/12/2012,Leicester,Derby,4,1,H,2,1,H,16,9,11,9,13,10,8,5,0,1,0,0,1.64,4.07,5.91,1.6,4.23,6.3
E1,08/12/2012,Derby,Leeds,3,1,H,1,1,D,15,11,11,6,14,10,10,2,3,0,0,0,2.29,3.64,3.18,2.22,3.75,3.29
E1,15/12/2012,Bristol City,Derby,0,2,A,0,2,A,12,11,7,7,8,8,4,6,1,2,0,0,2.95,3.59,2.45,2.68,3.56,2.73
E1,21/12/2012,Derby,Hull,1,2,A,1,1,D,15,3,8,2,12,12,9,3,0,3,0,0,2.82,3.43,2.67,2.61,3.58,2.79
E1,26/12/2012,Burnley,Derby,2,0,H,1,0,H,13,6,9,3,14,10,3,3,4,1,0,0,2.28,3.57,3.26,2.33,3.55,3.24
E1,29/12/2012,Charlton,Derby,1,1,D,1,0,H,8,10,5,6,12,8,3,16,2,3,1,0,2.6,3.46,2.84,2.5,3.46,2.99
E1,01/01/2013,Derby,Middlesbrough,3,1,H,2,0,H,17,7,8,5,15,18,7,3,1,3,0,0,2.65,3.54,2.74,2.88,3.46,2.62
E1,12/01/2013,Brighton,Derby,2,1,H,2,0,H,8,5,5,2,12,12,5,5,2,4,0,0,2.03,3.57,3.89,2,3.56,4.16
E1,19/01/2013,Derby,Nott'm Forest,1,1,D,0,1,A,16,12,9,2,7,16,5,3,0,1,0,0,2.26,3.52,3.34,2.23,3.51,3.48
E1,02/02/2013,Derby,Huddersfield,3,0,H,2,0,H,21,9,10,2,13,11,9,4,2,1,0,0,1.8,3.85,4.76,1.83,3.8,4.75
E1,09/02/2013,Sheffield Weds,Derby,2,2,D,0,1,A,11,3,8,3,13,8,7,3,2,2,0,0,2.43,3.46,3.08,2.46,3.39,3.14
E1,12/02/2013,Hull,Derby,2,1,H,0,0,D,11,7,3,3,13,16,3,1,3,3,0,1,1.94,3.55,4.38,2,3.5,4.26
E1,16/02/2013,Derby,Wolves,0,0,D,0,0,D,9,8,5,3,9,14,5,5,1,2,0,0,1.99,3.65,3.95,2.1,3.63,3.73
E1,19/02/2013,Derby,Bolton,1,1,D,0,1,A,22,10,10,6,15,17,7,4,0,1,0,0,2.45,3.48,3.03,2.49,3.42,3.06
E1,23/02/2013,Watford,Derby,2,1,H,1,0,H,13,7,8,3,10,5,6,4,0,2,0,0,1.9,3.75,4.3,1.77,3.97,4.91
E1,01/03/2013,Derby,Crystal Palace,0,1,A,0,1,A,18,8,12,4,11,16,9,4,2,3,0,0,2.63,3.41,2.88,2.62,3.41,2.9
E1,05/03/2013,Cardiff,Derby,1,1,D,0,0,D,12,8,8,6,10,10,5,6,2,2,0,0,1.68,4.08,5.38,1.74,3.93,5.28
E1,09/03/2013,Birmingham,Derby,3,1,H,0,1,A,8,11,3,8,12,9,1,10,2,0,0,0,2.61,3.44,2.85,2.62,3.41,2.9
E1,16/03/2013,Derby,Leicester,2,1,H,2,0,H,9,17,5,7,8,12,3,5,3,2,0,0,3.14,3.47,2.39,3.23,3.42,2.39
E1,29/03/2013,Derby,Bristol City,3,0,H,1,0,H,9,12,4,2,8,11,7,4,1,2,0,0,1.97,3.64,4.11,1.94,3.59,4.32
E1,01/04/2013,Leeds,Derby,1,2,A,0,0,D,10,7,3,7,15,15,6,6,1,0,0,0,2.34,3.39,3.3,2.46,3.54,2.97
E1,06/04/2013,Derby,Ipswich,0,1,A,0,0,D,14,8,9,4,10,14,9,2,1,2,0,0,2.12,3.45,3.79,2.02,3.51,4.09
E1,13/04/2013,Blackburn,Derby,2,0,H,2,0,H,7,12,3,9,13,17,3,6,3,1,0,0,2.6,3.38,2.82,2.77,3.35,2.77
E1,16/04/2013,Barnsley,Derby,1,1,D,0,0,D,5,10,4,6,16,12,2,3,2,0,0,0,2.55,3.42,2.93,2.56,3.39,2.97
E1,20/04/2013,Derby,Peterboro,3,1,H,1,0,H,17,8,12,5,11,10,19,2,3,1,1,0,2.03,3.63,3.84,1.98,3.73,3.96
E1,27/04/2013,Blackpool,Derby,2,1,H,1,0,H,14,12,8,6,17,17,3,6,3,3,0,0,2.28,3.53,3.24,2.33,3.41,3.31
E1,04/05/2013,Derby,Millwall,1,0,H,0,0,D,8,6,4,4,6,14,5,11,0,3,0,0,2.23,3.47,3.39,2.2,3.48,3.52
