Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,PSCH,PSCD,PSCA
E1,09/08/2014,Derby,Rotherham,1,0,H,0,0,D,K Friend,10,16,3,6,8,11,8,3,0,1,0,0,1.58,4.31,6.24,1.59,4.34,6.27
E1,16/08/2014,Sheffield Weds,Derby,0,0,D,0,0,D,S Duncan,21,11,7,3,13,10,9,4,3,2,0,0,3.16,3.4,2.41,3.21,3.41,2.41
E1,19/08/2014,Charlton,Derby,3,2,H,2,1,H,M Bull,13,15,7,5,10,13,0,4,2,1,0,0,3.76,3.43,2.17,4.38,3.53,1.97
E1,23/08/2014,Derby,Fulham,5,1,H,1,0,H,O Langford,18,9,9,4,12,6,4,5,0,0,0,0,1.75,3.85,5.17,1.67,4.16,5.6
E1,30/08/2014,Derby,Ipswich,1,1,D,1,0,H,E Ilderton,12,10,5,5,15,8,7,11,1,3,0,0,1.79,3.73,5.05,1.69,3.93,5.75
E1,14/09/2014,Nott'm Forest,Derby,1,1,D,0,0,D,P Tierney,16,13,3,5,11,17,5,6,3,1,0,1,2.42,3.46,3.1,2.57,3.39,2.98
E1,17/09/2014,Blackburn,Derby,2,3,A,1,2,A,D Webb,20,15,9,7,14,7,11,3,0,2,0,0,2.75,3.4,2.72,2.79,3.44,2.69
E1,20/09/2014,Derby,Cardiff,2,2,D,0,0,D,A Marriner,18,10,5,3,5,10,7,3,0,2,0,0,1.79,3.88,4.78,1.69,4.16,5.33
E1,27/09/2014,Bolton,Derby,0,2,A,0,1,A,M Brown,9,16,2,7,15,13,7,7,2,1,0,0,3.74,3.71,2.05,3.9,3.66,2.04
E1,30/09/2014,Derby,Bournemouth,2,0,H,0,0,D,S Mathieson,19,5,5,2,9,10,7,3,0,1,0,1,2.08,3.7,3.66,2.14,3.65,3.6
E1,04/10/2014,Derby,Millwall,0,0,D,0,0,D,M Haywood,10,11,1,2,15,12,12,7,4,4,0,0,1.56,4.33,6.57,1.51,4.52,7.43
E1,18/10/2014,Reading,Derby,0,3,A,0,2,A,D Deadman,16,11,6,5,17,12,9,9,2,4,0,0,3.04,3.47,2.45,3.33,3.43,2.34
E1,21/10/2014,Blackpool,Derby,0,1,A,0,0,D,K Wright,13,13,4,6,19,12,9,10,3,1,0,0,5.09,4.02,1.73,5.43,4.09,1.69
E1,25/10/2014,Derby,Wigan,1,2,A,1,0,H,R Madley,12,18,2,8,13,16,5,8,1,5,0,0,1.75,3.83,5.1,1.81,3.87,4.78
E1,01/11/2014,Brentford,Derby,2,1,H,0,1,A,C Berry,10,15,3,3,11,15,5,5,3,4,0,0,3.26,3.5,2.3,3.13,3.56,2.38
E1,04/11/2014,Derby,Huddersfield,3,2,H,2,1,H,K Hill,16,18,8,6,9,13,9,8,2,2,0,0,1.66,4.3,5.23,1.78,3.94,4.89
E1,08/11/2014,Derby,Wolves,5,0,H,3,0,H,G Salisbury,15,11,6,2,14,14,9,4,1,4,0,0,2.03,3.65,3.88,2.05,3.7,3.85
E1,22/11/2014,Watford,Derby,1,2,A,0,1,A,K Stroud,15,11,6,6,18,12,6,9,4,1,0,0,2.79,3.56,2.63,2.89,3.66,2.49
E1,29/11/2014,Leeds,Derby,2,0,H,1,0,H,M Russell,14,11,5,0,18,6,5,6,4,5,0,0,4.3,3.67,1.93,4.21,3.8,1.93
E1,06/12/2014,Derby,Brighton,3,0,H,3,0,H,M Heywood,18,11,8,0,11,10,4,4,2,2,0,0,1.9,3.76,4.31,1.77,3.85,5.15
E1,13/12/2014,Middlesbrough,Derby,2,0,H,1,0,H,R East,15,6,7,2,15,15,6,3,2,3,0,1,2.17,3.53,3.55,2.4,3.34,3.29
E1,20/12/2014,Derby,Norwich,2,2,D,1,0,H,P Tierney,6,17,2,3,5,9,1,3,1,2,0,0,2.31,3.54,3.22,2.3,3.64,3.22
E1,26/12/2014,Birmingham,Derby,0,4,A,0,2,A,C Foy,10,15,2,6,8,12,3,9,1,2,0,0,3.4,3.5,2.25,3.68,3.6,2.13
E1,30/12/2014,Derby,Leeds,2,0,H,1,0,H,K Stroud,15,8,6,1,12,13,5,2,1,4,0,0,1.49,4.5,7.54,1.53,4.55,6.78
E1,10/01/2015,Ipswich,Derby,0,1,A,0,0,D,K Wright,18,10,6,3,13,11,4,4,3,0,0,1,2.62,3.4,2.85,2.71,3.25,2.92
E1,17/01/2015,Derby,Nott'm Forest,1,2,A,1,0,H,A Madley,11,16,1,4,14,19,8,7,2,2,0,0,1.72,3.92,5.24,1.64,3.91,6.47
E1,27/01/2015,Derby,Blackburn,2,0,H,0,0,D,A Davies,18,11,6,2,9,16,8,3,2,2,0,0,1.83,3.85,4.68,1.87,3.81,4.44
E1,31/01/2015,Cardiff,Derby,0,2,A,0,2,A,P Tierney,9,3,5,3,16,14,3,2,3,2,0,0,3.5,3.47,2.22,3.87,3.49,2.1
E1,07/02/2015,Derby,Bolton,4,1,H,2,0,H,T Harrington,18,5,6,2,6,19,5,7,0,2,0,0,1.58,4.35,6.12,1.54,4.75,6.22
E1,10/02/2015,Bournemouth,Derby,2,2,D,2,1,H,M Clattenburg,12,14,4,6,10,11,3,8,0,1,0,0,2.29,3.54,3.28,2.01,3.59,4.1
E1,17/02/2015,Rotherham,Derby,3,3,D,1,1,D,N Miller,12,17,5,7,9,7,7,4,1,0,0,0,3.98,3.53,2.05,4.03,3.6,2.03
E1,21/02/2015,Derby,Sheffield Weds,3,2,H,0,1,A,D Bond,17,6,7,2,9,15,8,0,1,3,0,1,1.68,3.89,5.76,1.74,3.98,5.21
E1,24/02/2015,Derby,Charlton,2,0,H,2,0,H,D Coote,8,8,2,3,6,6,2,3,0,0,0,0,1.48,4.56,7.73,1.46,4.51,8.72
E1,28/02/2015,Fulham,Derby,2,0,H,2,0,H,M Jones,18,14,5,2,13,10,6,5,1,1,0,0,3.85,3.73,2.01,3.94,3.65,2.03
E1,03/03/2015,Brighton,Derby,2,0,H,0,0,D,N Swarbrick,8,19,4,5,10,12,2,12,2,4,0,0,2.78,3.4,2.69,2.81,3.33,2.75
E1,07/03/2015,Derby,Birmingham,2,2,D,1,0,H,I Williamson,14,15,6,3,19,15,8,7,3,2,0,0,1.57,4.18,6.52,1.63,4.13,6.03
E1,14/03/2015,Norwich,Derby,1,1,D,1,0,H,L Probert,15,3,5,2,15,10,6,3,2,2,0,0,2.05,3.62,3.82,2.12,3.49,3.83
E1,17/03/2015,Derby,Middlesbrough,0,1,A,0,0,D,A D'Urso,10,7,2,3,13,13,2,4,3,3,0,0,2.53,3.32,3.04,2.61,3.37,2.95
E1,20/03/2015,Wolves,Derby,2,0,H,0,0,D,K Stroud,10,19,3,8,10,9,4,4,0,1,0,0,2.59,3.39,2.91,2.83,3.33,2.73
E1,03/04/2015,Derby,Watford,2,2,D,1,1,D,K Friend,18,9,6,5,9,13,9,2,2,4,0,1,2.09,3.64,3.71,2.1,3.7,3.67
E1,06/04/2015,Wigan,Derby,0,2,A,0,0,D,S Hooper,16,9,6,3,17,16,9,6,2,2,0,0,3.53,3.34,2.26,3.4,3.41,2.31
E1,11/04/2015,Derby,Brentford,1,1,D,0,1,A,G Scott,9,17,4,6,8,9,4,5,3,1,0,0,2.05,3.78,3.67,1.89,4,4.15
E1,14/04/2015,Derby,Blackpool,4,0,H,3,0,H,O Langford,18,10,8,0,9,10,5,4,0,0,0,0,1.22,7.2,15.77,1.2,7.7,17.3
E1,18/04/2015,Huddersfield,Derby,4,4,D,3,1,H,D Whitestone,18,10,6,5,14,7,8,2,2,1,0,0,3.84,3.71,2.03,4.04,3.68,2
E1,25/04/2015,Millwall,Derby,3,3,D,2,1,H,D Coote,12,12,7,5,22,12,8,3,2,2,0,0,4.4,3.67,1.9,4.19,3.76,1.94
E1,02/05/2015,Derby,Reading,0,3,A,0,1,A,J Linington,10,16,3,7,9,19,7,5,3,2,0,0,1.39,5.2,8.76,1.41,4.86,9.61
