Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,Manager
E1,2017-08-04,Sunderland,Derby,1,1,D,1,1,D,O Langford,20,11,4,4,12,11,6,7,1,0,0,0,Gary Rowett
E1,2017-08-12,Derby,Wolves,0,2,A,0,1,A,L Probert,13,12,3,3,6,10,10,5,0,0,0,0,Gary Rowett
E1,2017-08-15,Derby,Preston,1,0,H,0,0,D,G Eltringham,15,9,5,4,14,15,4,4,2,3,0,0,Gary Rowett
E1,2017-08-19,Bolton,Derby,1,2,A,0,2,A,S Martin,7,10,1,2,12,10,3,2,2,1,0,0,Gary Rowett
E1,2017-08-26,Sheffield United,Derby,3,1,H,2,0,H,A Madley,5,15,4,2,15,12,6,2,3,3,0,0,Gary Rowett
E1,2017-09-08,Derby,Hull,5,0,H,4,0,H,D Bond,15,18,7,3,16,7,3,9,0,0,0,0,Gary Rowett
E1,2017-09-16,Bristol City,Derby,4,1,H,0,1,A,M Atkinson,25,11,9,2,18,13,5,6,1,2,0,0,Gary Rowett
E1,2017-09-23,Derby,Birmingham,1,1,D,0,0,D,R East,10,10,4,2,14,10,4,6,1,1,0,0,Gary Rowett
E1,2017-09-26,Brentford,Derby,1,1,D,0,1,A,A Davies,14,3,2,2,7,12,11,0,3,5,0,0,Gary Rowett
E1,2017-09-30,Cardiff,Derby,0,0,D,0,0,D,J Linington,14,7,2,2,18,18,8,2,2,1,0,0,Gary Rowett
E1,2017-10-15,Derby,Nott'm Forest,2,0,H,1,0,H,A Madley,14,19,4,5,10,6,7,7,0,1,0,0,Gary Rowett
E1,2017-10-21,Derby,Sheffield Weds,2,0,H,1,0,H,S Duncan,15,11,7,0,8,6,6,4,2,2,0,1,Gary Rowett
E1,2017-10-28,Norwich,Derby,1,2,A,0,1,A,P Bankes,18,12,4,5,15,13,6,3,1,3,0,0,Gary Rowett
E1,2017-10-31,Leeds,Derby,1,2,A,1,0,H,S Hooper,7,8,1,3,14,16,5,8,2,2,0,0,Gary Rowett
E1,2017-11-04,Derby,Reading,2,4,A,0,2,A,K Stroud,13,8,4,5,20,12,9,0,4,3,0,0,Gary Rowett
E1,2017-11-18,Fulham,Derby,1,1,D,1,0,H,D Bond,12,5,2,2,13,8,10,2,1,0,0,0,Gary Rowett
E1,2017-11-21,Derby,QPR,2,0,H,1,0,H,P Tierney,13,9,4,1,8,14,4,2,2,3,0,0,Gary Rowett
