Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,PSH,PSD,PSA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA,B365>2,B365<2,P>2,P<2,Max>2,Max<2,Avg>2,Avg<2,AHh,B365AHH,B365AHA,PAHH,PAHA,MaxAHH,MaxAHA,AvgAHH,AvgAHA,B365CH,B365CD,B365CA,BWCH,BWCD,BWCA,IWCH,IWCD,IWCA,PSCH,PSCD,PSCA,WHCH,WHCD,WHCA,VCCH,VCCD,VCCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,B365C>2,B365C<2,PC>2,PC<2,MaxC>2,MaxC<2,AvgC>2,AvgC<2,AHCh,B365CAHH,B365CAHA,PCAHH,PCAHA,MaxCAHH,MaxCAHA,AvgCAHH,AvgCAHA
E1,05/08/2019,19:45,Huddersfield,Derby,1,2,A,1,2,A,G Eltringham,14,11,2,3,18,14,8,0,0,0,0,0,2.18,3.39,3.48,2.25,3.5,3.5,2.19,3.34,3.35,"[null,null,null,null,null,""2""]","[null,null,null,null,null,""1.8""]","[null,null,null,null,null,""2.13""]","[null,null,null,null,null,""1.78""]","[null,null,null,null,null,""2.13""]","[null,null,null,null,null,""1.83""]","[null,null,null,null,null,""2.04""]","[null,null,null,null,null,""1.77""]",-0.25,1.89,2.01,1.9,2.02,1.93,2.04,1.87,1.98,2.15,3.4,3.8,2.1,3.3,3.7,2.1,3.3,3.5,2.16,3.39,3.67,2.15,3.25,3.6,2.2,3.3,3.6,2.2,3.4,3.8,2.14,3.29,3.56,"[null,null,null,null,null,""2.1""]","[null,null,null,null,null,""1.72""]","[null,null,null,null,null,""2.15""]","[null,null,null,null,null,""1.76""]","[null,null,null,null,null,""2.2""]","[null,null,null,null,null,""1.79""]","[null,null,null,null,null,""2.12""]","[null,null,null,null,null,""1.72""]",-0.25,1.86,2.04,1.85,2.06,1.89,2.06,1.85,2.02
E1,10/08/2019,15:00,Derby,Swansea,0,0,D,0,0,D,J Gillett,17,13,3,3,8,14,8,3,2,1,0,0,2.28,3.33,3.44,2.32,3.4,3.52,2.23,3.31,3.27,"[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""1.98""]","[null,null,null,null,null,""1.92""]","[null,null,null,null,null,""2.02""]","[null,null,null,null,null,""1.92""]","[null,null,null,null,null,""1.96""]","[null,null,null,null,null,""1.85""]",-0.25,1.95,1.95,1.96,1.96,1.97,1.98,1.93,1.92,2.35,3.4,3.3,2.25,3.3,3.3,2.3,3.3,3.1,2.37,3.4,3.2,2.3,3.25,3.25,2.38,3.4,3.2,2.38,3.4,3.4,2.3,3.3,3.19,"[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""2.02""]","[null,null,null,null,null,""1.88""]","[null,null,null,null,null,""2.03""]","[null,null,null,null,null,""1.92""]","[null,null,null,null,null,""1.97""]","[null,null,null,null,null,""1.84""]",-0.25,2.03,1.87,2.04,1.88,2.07,1.92,1.99,1.88
E1,17/08/2019,15:00,Stoke,Derby,2,2,D,1,1,D,T Robinson,19,8,5,6,13,17,10,5,3,3,0,0,2.37,3.15,3.45,2.38,3.25,3.6,2.29,3.16,3.34,"[null,null,null,null,null,""2.2""]","[null,null,null,null,null,""1.66""]","[null,null,null,null,null,""2.34""]","[null,null,null,null,null,""1.66""]","[null,null,null,null,null,""2.34""]","[null,null,null,null,null,""1.72""]","[null,null,null,null,null,""2.21""]","[null,null,null,null,null,""1.66""]",-0.25,1.97,1.93,2.02,1.9,2.02,1.95,1.96,1.9,2.15,3.2,3.6,2.2,3.25,3.5,2.1,3.15,3.7,2.13,3.27,3.92,2.15,3.2,3.7,2.15,3.3,3.8,2.22,3.3,3.95,2.15,3.2,3.68,"[null,null,null,null,null,""2.3""]","[null,null,null,null,null,""1.61""]","[null,null,null,null,null,""2.32""]","[null,null,null,null,null,""1.66""]","[null,null,null,null,null,""2.4""]","[null,null,null,null,null,""1.67""]","[null,null,null,null,null,""2.27""]","[null,null,null,null,null,""1.63""]",-0.25,1.85,2.05,1.82,2.1,1.88,2.14,1.82,2.04
E1,20/08/2019,19:45,Derby,Bristol City,1,2,A,0,2,A,S Martin,18,8,4,3,12,8,9,0,2,1,0,0,2.13,3.42,3.72,2.3,3.42,3.72,2.15,3.33,3.48,"[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""1.93""]","[null,null,null,null,null,""1.96""]","[null,null,null,null,null,""2""]","[null,null,null,null,null,""1.96""]","[null,null,null,null,null,""1.93""]","[null,null,null,null,null,""1.88""]",-0.25,1.82,2.08,1.83,2.09,1.88,2.12,1.83,2.04,1.95,3.5,3.9,2,3.4,3.9,1.95,3.5,3.75,2.01,3.6,3.94,2,3.4,3.9,2,3.7,3.9,2.07,3.7,4.1,1.98,3.49,3.84,"[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""1.97""]","[null,null,null,null,null,""1.93""]","[null,null,null,null,null,""2""]","[null,null,null,null,null,""1.98""]","[null,null,null,null,null,""1.92""]","[null,null,null,null,null,""1.89""]",-0.5,2.01,1.89,2.01,1.9,2.03,1.94,1.98,1.87
E1,24/08/2019,12:30,Derby,West Brom,1,1,D,1,0,H,G Ward,11,13,4,4,12,18,6,6,1,1,0,0,2.52,3.44,2.92,2.6,3.47,2.94,2.45,3.38,2.83,"[null,null,null,null,null,""1.8""]","[null,null,null,null,null,""2""]","[null,null,null,null,null,""1.88""]","[null,null,null,null,null,""2.02""]","[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""2.04""]","[null,null,null,null,null,""1.84""]","[null,null,null,null,null,""1.97""]",-0.25,2.07,1.72,2.17,1.77,2.17,1.8,2.12,1.76,2.87,3.4,2.4,2.6,3.5,2.65,2.85,3.4,2.4,3.11,3.49,2.37,2.9,3.4,2.45,3,3.5,2.45,3.15,3.5,2.65,2.89,3.4,2.43,"[null,null,null,null,null,""1.8""]","[null,null,null,null,null,""2""]","[null,null,null,null,null,""1.83""]","[null,null,null,null,null,""2.07""]","[null,null,null,null,null,""1.87""]","[null,null,null,null,null,""2.07""]","[null,null,null,null,null,""1.81""]","[null,null,null,null,null,""1.99""]",0.25,1.84,2.06,1.87,2.05,1.89,2.2,1.79,2.09
E1,31/08/2019,15:00,Brentford,Derby,3,0,H,3,0,H,D Webb,22,5,8,0,12,13,6,3,0,2,0,0,2.03,3.54,3.95,2.05,3.62,4,1.98,3.5,3.82,"[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""1.94""]","[null,null,null,null,null,""1.96""]","[null,null,null,null,null,""1.96""]","[null,null,null,null,null,""1.99""]","[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""1.91""]",-0.5,2.01,1.89,2.03,1.88,2.03,1.91,1.99,1.87,1.8,3.6,4.5,1.85,3.6,4.25,1.77,3.7,4.45,1.79,3.84,4.74,1.83,3.6,4.4,1.8,3.8,4.75,1.92,3.84,4.8,1.8,3.67,4.52,"[null,null,null,null,null,""1.8""]","[null,null,null,null,null,""2""]","[null,null,null,null,null,""1.84""]","[null,null,null,null,null,""2.06""]","[null,null,null,null,null,""1.91""]","[null,null,null,null,null,""2.06""]","[null,null,null,null,null,""1.84""]","[null,null,null,null,null,""1.97""]",-0.75,2.01,1.89,2.04,1.88,2.12,1.89,2.03,1.85
E1,13/09/2019,19:45,Derby,Cardiff,1,1,D,1,1,D,D England,13,13,5,4,13,10,6,4,2,2,0,0,2.61,3.46,2.8,2.72,3.5,2.88,2.55,3.4,2.76,"[null,null,null,null,null,""1.8""]","[null,null,null,null,null,""2""]","[null,null,null,null,null,""1.86""]","[null,null,null,null,null,""2.03""]","[null,null,null,null,null,""1.88""]","[null,null,null,null,null,""2.08""]","[null,null,null,null,null,""1.83""]","[null,null,null,null,null,""1.99""]",0,1.89,2.01,1.89,2.03,1.91,2.06,1.86,2.01,2.5,3.5,2.75,2.45,3.4,2.85,2.5,3.4,2.7,2.55,3.48,2.85,2.5,3.4,2.8,2.55,3.5,2.8,2.6,3.54,3,2.5,3.41,2.8,"[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""1.9""]","[null,null,null,null,null,""1.88""]","[null,null,null,null,null,""2.02""]","[null,null,null,null,null,""1.92""]","[null,null,null,null,null,""2.06""]","[null,null,null,null,null,""1.83""]","[null,null,null,null,null,""1.98""]",0,1.82,2.08,1.85,2.07,1.86,2.09,1.82,2.05
E1,21/09/2019,12:30,Leeds,Derby,1,1,D,1,0,H,O Langford,13,4,5,1,8,12,8,3,0,4,0,0,1.41,5.11,7.7,1.44,5.2,8.5,1.39,4.94,7.49,"[null,null,null,null,null,""1.57""]","[null,null,null,null,null,""2.37""]","[null,null,null,null,null,""1.61""]","[null,null,null,null,null,""2.43""]","[null,null,null,null,null,""1.63""]","[null,null,null,null,null,""2.48""]","[null,null,null,null,null,""1.59""]","[null,null,null,null,null,""2.35""]",-1.25,1.9,2,1.93,1.99,1.93,2.01,1.88,1.98,1.4,4.75,7.5,1.4,4.75,7.75,1.4,4.8,7,1.46,4.55,7.72,1.42,4.75,7.5,1.44,4.75,7,1.48,5,8,1.44,4.6,7.13,"[null,null,null,null,null,""1.61""]","[null,null,null,null,null,""2.3""]","[null,null,null,null,null,""1.65""]","[null,null,null,null,null,""2.35""]","[null,null,null,null,null,""1.66""]","[null,null,null,null,null,""2.38""]","[null,null,null,null,null,""1.61""]","[null,null,null,null,null,""2.3""]",-1.25,2.04,1.86,2.04,1.88,2.08,1.95,2,1.86
E1,28/09/2019,15:00,Derby,Birmingham,3,2,H,1,0,H,S Hooper,7,17,4,6,9,18,2,9,3,1,0,0,2.29,3.22,3.55,2.3,3.4,3.58,2.23,3.21,3.41,"[null,null,null,null,null,""2.1""]","[null,null,null,null,null,""1.72""]","[null,null,null,null,null,""2.2""]","[null,null,null,null,null,""1.74""]","[null,null,null,null,null,""2.2""]","[null,null,null,null,null,""1.77""]","[null,null,null,null,null,""2.12""]","[null,null,null,null,null,""1.72""]",-0.25,1.92,1.98,1.95,1.97,1.95,2,1.92,1.95,2.3,3.1,3.4,2.35,3.1,3.3,2.4,3.1,3.1,2.42,3.06,3.44,2.4,3.1,3.2,2.38,3.2,3.2,2.45,3.2,3.48,2.38,3.08,3.27,"[null,null,null,null,null,""2.3""]","[null,null,null,null,null,""1.61""]","[null,null,null,null,null,""2.37""]","[null,null,null,null,null,""1.64""]","[null,null,null,null,null,""2.42""]","[null,null,null,null,null,""1.67""]","[null,null,null,null,null,""2.29""]","[null,null,null,null,null,""1.62""]",-0.25,2.03,1.87,2.05,1.87,2.07,1.9,2.02,1.84
E1,02/10/2019,19:45,Barnsley,Derby,2,2,D,1,2,A,T Harrington,12,12,7,6,22,14,8,2,2,0,0,0,2.62,3.52,2.75,2.65,3.55,2.8,2.55,3.42,2.71,"[null,null,null,null,null,""1.8""]","[null,null,null,null,null,""2""]","[null,null,null,null,null,""1.82""]","[null,null,null,null,null,""2.08""]","[null,null,null,null,null,""1.87""]","[null,null,null,null,null,""2.08""]","[null,null,null,null,null,""1.81""]","[null,null,null,null,null,""2""]",0,1.89,2.01,1.91,2.01,1.91,2.03,1.87,1.98,2.8,3.4,2.5,2.85,3.3,2.5,2.75,3.55,2.4,2.88,3.59,2.47,2.8,3.5,2.45,2.7,3.6,2.5,2.91,3.7,2.6,2.79,3.5,2.46,"[null,null,null,null,null,""1.61""]","[null,null,null,null,null,""2.3""]","[null,null,null,null,null,""1.66""]","[null,null,null,null,null,""2.34""]","[null,null,null,null,null,""1.75""]","[null,null,null,null,null,""2.4""]","[null,null,null,null,null,""1.65""]","[null,null,null,null,null,""2.24""]",0.25,1.72,2.07,1.79,2.14,1.82,2.2,1.76,2.12
